No.,장소명,지역명,점포명,카테고리,주소,카테고리,,
229,충주호,충주시,문성자연휴양림,"휴양림,산림욕장",충북 충주시 노은면,피크닉,,
230,충주호,충주시,중앙탑사적공원,"도시,테마공원",충북 충주시 중앙탑면,피크닉,,
231,충주호,충주시,우림정원,"식물원,수목원",충북 충주시 엄정면,피크닉,,
232,충주호,충주시,호암지생태공원,"자연,생태공원",충북 충주시 호암동,피크닉,,
233,충주호,충주시,충주탄금공원,테마공원,충북 충주시 금릉동,피크닉,,
234,충주호,충주시,관아공원,"도시,테마공원",충북 충주시 성내동,피크닉,,
235,충주호,충주시,수안보물탕공원,근린공원,충북 충주시 수안보면,피크닉,,
236,충주호,충주시,삼탄유원지,유원지,충북 충주시 산척면,피크닉,,
237,충주호,충주시,나무숲놀이터,자연공원,충북 충주시 금릉동,피크닉,,
238,충주호,충주시,연수자연마당,자연공원,충북 충주시 연수동,피크닉,,
239,충주호,충주시,대가미체육공원,"도시,테마공원",충북 충주시 교현동,피크닉,,
240,충주호,충주시,달숯정원,테마공원,충북 충주시 금가면,피크닉,,
241,충주호,충주시,드림 숲,자연공원,충북 충주시 동량면,피크닉,,
242,충주호,충주시,용교생태공원,"자연,생태공원",충북 충주시 동량면,피크닉,,
243,충주호,충주시,심항산해맞이도시숲,근린공원,충북 충주시 종민동,피크닉,,
244,충주호,충주시,앙성온천광장,근린공원,충북 충주시 앙성면,피크닉,,
245,충주호,충주시,금릉소공원,"도시,테마공원",충북 충주시 칠금동,피크닉,,
246,충주호,충주시,금곡소류지,"자연,생태공원",충북 충주시 연수동,피크닉,,
247,충주호,충주시,조산공원,"도시,테마공원",충북 충주시 수안보면,피크닉,,
248,충주호,충주시,조동근린공원,근린공원,충북 충주시 동량면,피크닉,,
249,충주호,충주시,남양공원,근린공원,충북 충주시 연수동,피크닉,,
250,충주호,충주시,능암늪지생태공원,"자연,생태공원",충북 충주시 금릉동,피크닉,,
251,충주호,충주시,연꽃공원,자연공원,충북 충주시 봉방동,피크닉,,
252,충주호,충주시,물레방아공원,근린공원,충북 충주시 동량면,피크닉,,
253,충주호,충주시,수룡산림욕장,"휴양림,산림욕장",충북 충주시 노은면,피크닉,,
254,충주호,충주시,중원체육공원,"도시,테마공원",충북 충주시 중앙탑면,피크닉,,
255,충주호,충주시,모시래어린이놀이터,공원,충북 충주시 달천동,피크닉,,
256,충주호,충주시,중앙탑자전거,자전거,충북 충주시 중앙탑면,피크닉,,
257,청계천,중구,서울광장,광장,서울 중구 을지로1가,체험관광,,
258,청계천,중구,청계광장,광장,서울 중구 태평로1가,체험관광,,
259,청계천,중구,명동거리,"거리,골목",서울 중구 명동2가,체험관광,,
260,청계천,중구,신당동떡볶이타운,먹자거리,서울 중구 신당동,체험관광,,
261,청계천,중구,중앙아시아길,문화거리,서울 중구 광희동1가,체험관광,,
262,청계천,중구,남산케이블카,케이블카,서울 중구 회현동1가,체험관광,,
263,청계천,중구,남대문시장 갈치조림골목,먹자거리,서울 중구 남창동,체험관광,,
264,청계천,중구,몽골타운,문화거리,서울 중구 광희동1가,체험관광,,
265,청계천,중구,황학동주방거리,"거리,골목",서울 중구 황학동,체험관광,,
266,청계천,중구,정동전망대,전망대,서울 중구 서소문동,체험관광,,
267,청계천,중구,힙지로,"거리,골목",서울 중구 초동,체험관광,,
268,청계천,중구,청계천헌책방거리,문화거리,서울 중구 을지로6가,체험관광,,
269,청계천,중구,북창동먹자골목,먹자거리,서울 중구 북창동,체험관광,,
270,청계천,중구,세실극장옥상전망대,전망대,서울 중구 정동,체험관광,,
271,청계천,중구,남산공원백범광장,광장,서울 중구 회현동1가,체험관광,,
272,청계천,중구,가을단풍길(남산북측순환로),계절거리,서울 중구 예장동,체험관광,,
273,청계천,중구,잠두봉 포토아일랜드,전망대,서울 중구 예장동,체험관광,,
274,청계천,중구,서울마당,광장,서울 중구 태평로1가,체험관광,,
275,청계천,중구,남산곤돌라(2027년예정),케이블카,서울 중구 예장동,체험관광,,
276,청계천,중구,가을단풍길(덕수궁길),계절거리,서울 중구 서소문동,체험관광,,
277,청계천,중구,드라마[도깨비]촬영지,촬영장소,서울 중구 정동,체험관광,,
278,청계천,중구,남산오르미,케이블카,서울 중구 회현동2가,체험관광,,
279,청계천,중구,숭례문광장,광장,서울 중구 남대문로5가,체험관광,,
280,청계천,중구,장충단길,문화거리,서울 중구 장충동2가,체험관광,,
281,청계천,중구,남산케이블카 운전실,케이블카,서울 중구 예장동,체험관광,,
282,청계천,중구,천주교 서울대교구 주교좌명동대성당,천주교,서울 중구 명동2가,체험관광,,
283,청계천,중구,중림동약현성당,천주교,서울 중구 중림동,체험관광,,
284,청계천,중구,남산충정사,"절,사찰",서울 중구 필동2가,체험관광,,
285,청계천,중구,루미스페이스,한복대여,서울 중구 충무로2가,체험관광,,
286,청계천,중구,정각원,"절,사찰",서울 중구 필동3가,체험관광,,
287,청계천,중구,조선저축은행 중역사택,"문화,유적",서울 중구 정동,문화유적,,
288,청계천,중구,숭례문,기념물,서울 중구 남대문로4가,문화유적,,
289,청계천,중구,남산골한옥마을,"문화,유적",서울 중구 필동2가,문화유적,,
290,청계천,중구,덕수궁,궁궐,서울 중구 정동,문화유적,,
291,청계천,중구,광희문,국가유산,서울 중구 광희동2가,문화유적,,
292,청계천,중구,남대문로한옥상가,국가유산,서울 중구 남대문로4가,문화유적,,
293,청계천,중구,한양도성,"문화,유적",서울 중구 신당동,문화유적,,
